p01a          'Paddy rice'
p01b          'Wheat'
p01c          'Cereal grains nec'
p01d          'Vegetables, fruit, nuts'
p01e          'Oil seeds'
p01f          'Sugar cane, sugar beet'
p01g          'Plant-based fibers'
p01h          'Crops nec'
p01i          'Cattle'
p01j          'Pigs'
p01k          'Poultry'
p01l          'Meat animals nec'
p01m          'Animal products nec'
p01n          'Raw milk'
p01o          'Wool, silk-worm cocoons'
p01w1         'Manure (conventional treatment)'
p01w2         'Manure (biogas treatment)'
p02           'Products of forestry, logging and related services (02)'
p05           'Fish and other fishing products; services incidental of fishing (05)'
p10a          'Anthracite'
p10b          'Coking Coal'
p10c          'Other Bituminous Coal'
p10d          'Sub-Bituminous Coal'
p10e          'Patent Fuel'
p10f          'Lignite/Brown Coal'
p10g          'BKB/Peat Briquettes'
p10h          'Peat'
p11a          'Crude petroleum and services related to crude oil extraction, excluding surveying'
p11b          'Natural gas and services related to natural gas extraction, excluding surveying'
p11b1         'Natural Gas Liquids'
p11c          'Other Hydrocarbons'
p12           'Uranium and thorium ores (12)'
p131          'Iron ores'
p132011       'Copper ores and concentrates'
p132012       'Nickel ores and concentrates'
p132013       'Aluminium ores and concentrates'
p132014       'Precious metal ores and concentrates'
p132015       'Lead, zinc and tin ores and concentrates'
p132016       'Other non-ferrous metal ores and concentrates'
p141          'Stone'
p142          'Sand and clay'
p143          'Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.'
p15a          'Products of meat cattle'
p15b          'Products of meat pigs'
p15c          'Products of meat poultry'
p15d          'Meat products nec'
p15e          'products of Vegetable oils and fats'
p15f          'Dairy products'
p15g          'Processed rice'
p15h          'Sugar'
p15i          'Food products nec'
p15j          'Beverages'
p15k          'Fish products'
p16           'Tobacco products (16)'
p17           'Textiles (17)'
p18           'Wearing apparel; furs (18)'
p19           'Leather and leather products (19)'
p20           'Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)'
p20w          'Wood material for treatment, Re-processing of secondary wood material into new wood material'
p211          'Pulp'
p21w1         'Secondary paper for treatment, Re-processing of secondary paper into new pulp'
p212          'Paper and paper products'
p22           'Printed matter and recorded media (22)'
p231a         'Coke Oven Coke'
p231b         'Gas Coke'
p231c         'Coal Tar'
p2320a        'Motor Gasoline'
p2320b        'Aviation Gasoline'
p2320c        'Gasoline Type Jet Fuel'
p2320d        'Kerosene Type Jet Fuel'
p2320e        'Kerosene'
p2320f        'Gas/Diesel Oil'
p2320g        'Heavy Fuel Oil'
p2320h        'Refinery Gas'
p2320i        'Liquefied Petroleum Gases (LPG)'
p2320j        'Refinery Feedstocks'
p2320k        'Ethane'
p2320l        'Naphtha'
p2320m        'White Spirit & SBP'
p2320n        'Lubricants'
p2320o        'Bitumen'
p2320p        'Paraffin Waxes'
p2320q        'Petroleum Coke'
p2320r        'Non-specified Petroleum Products'
p233          'Nuclear fuel'
p24a          'Plastics, basic'
p24aw         'Secondary plastic for treatment, Re-processing of secondary plastic into new plastic'
p24b          'N-fertiliser'
p24c          'P- and other fertiliser'
p24d          'Chemicals nec'
p24e          'Charcoal'
p24f          'Additives/Blending Components'
p24g          'Biogasoline'
p24h          'Biodiesels'
p24i          'Other Liquid Biofuels'
p25           'Rubber and plastic products (25)'
p26a          'Glass and glass products'
p26w1         'Secondary glass for treatment, Re-processing of secondary glass into new glass'
p26b          'Ceramic goods'
p26c          'Bricks, tiles and construction products, in baked clay'
p26d          'Cement, lime and plaster'
p26dw         'Ash for treatment, Re-processing of ash into clinker'
p26e          'Other non-metallic mineral products'
p27a          'Basic iron and steel and of ferro-alloys and first products thereof'
p27aw         'Secondary steel for treatment, Re-processing of secondary steel into new steel'
p2741         'Precious metals'
p2741w        'Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals'
p2742         'Aluminium and aluminium products'
p2742w        'Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium'
p2743         'Lead, zinc and tin and products thereof'
p2743w        'Secondary lead for treatment, Re-processing of secondary lead into new lead'
p2744         'Copper products'
p2744w        'Secondary copper for treatment, Re-processing of secondary copper into new copper'
p2745         'Other non-ferrous metal products'
p2745w        'Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals'
p275          'Foundry work services'
p28           'Fabricated metal products, except machinery and equipment (28)'
p29           'Machinery and equipment n.e.c. (29)'
p30           'Office machinery and computers (30)'
p31           'Electrical machinery and apparatus n.e.c. (31)'
p32           'Radio, television and communication equipment and apparatus (32)'
p33           'Medical, precision and optical instruments, watches and clocks (33)'
p34           'Motor vehicles, trailers and semi-trailers (34)'
p35           'Other transport equipment (35)'
p36           'Furniture; other manufactured goods n.e.c. (36)'
p37           'Secondary raw materials'
p37w1         'Bottles for treatment, Recycling of bottles by direct reuse'
p4011a        'Electricity by coal'
p4011b        'Electricity by gas'
p4011c        'Electricity by nuclear'
p4011d        'Electricity by hydro'
p4011e        'Electricity by wind'
p4011f        'Electricity by petroleum and other oil derivatives'
p4011g        'Electricity by biomass and waste'
p4011h        'Electricity by solar photovoltaic'
p4011i        'Electricity by solar thermal'
p4011j        'Electricity by tide, wave, ocean'
p4011k        'Electricity by Geothermal'
p4011l        'Electricity nec'
p4012         'Transmission services of electricity'
p4013         'Distribution and trade services of electricity'
p402a         'Coke oven gas'
p402b         'Blast Furnace Gas'
p402c         'Oxygen Steel Furnace Gas'
p402d         'Gas Works Gas'
p402e         'Biogas'
p4021         'Distribution services of gaseous fuels through mains'
p403          'Steam and hot water supply services'
p41           'Collected and purified water, distribution services of water (41)'
p45           'Construction work (45)'
p45w          'Secondary construction material for treatment, Re-processing of secondary construction material into aggregates'
p50a          'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries'
p50b          'Retail trade services of motor fuel'
p51           'Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)'
p52           'Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)'
p55           'Hotel and restaurant services (55)'
p601          'Railway transportation services'
p602          'Other land transportation services'
p603          'Transportation services via pipelines'
p611          'Sea and coastal water transportation services'
p612          'Inland water transportation services'
p62           'Air transport services (62)'
p63           'Supporting and auxiliary transport services; travel agency services (63)'
p64           'Post and telecommunication services (64)'
p65           'Financial intermediation services, except insurance and pension funding services (65)'
p66           'Insurance and pension funding services, except compulsory social security services (66)'
p67           'Services auxiliary to financial intermediation (67)'
p70           'Real estate services (70)'
p71           'Renting services of machinery and equipment without operator and of personal and household goods (71)'
p72           'Computer and related services (72)'
p73           'Research and development services (73)'
p74           'Other business services (74)'
p75           'Public administration and defence services; compulsory social security services (75)'
p80           'Education services (80)'
p85           'Health and social work services (85)'
p901a         'Food waste for treatment: incineration'
p901b         'Paper waste for treatment: incineration'
p901c         'Plastic waste for treatment: incineration'
p901d         'Intert/metal waste for treatment: incineration'
p901e         'Textiles waste for treatment: incineration'
p901f         'Wood waste for treatment: incineration'
p901g         'Oil/hazardous waste for treatment: incineration'
p902a         'Food waste for treatment: biogasification and land application'
p902b         'Paper waste for treatment: biogasification and land application'
p902c         'Sewage sludge for treatment: biogasification and land application'
p903a         'Food waste for treatment: composting and land application'
p903b         'Paper and wood waste for treatment: composting and land application'
p904a         'Food waste for treatment: waste water treatment'
p904b         'Other waste for treatment: waste water treatment'
p905a         'Food waste for treatment: landfill'
p905b         'Paper for treatment: landfill'
